:START_ID(Movie)|:END_ID(Keyword)|:TYPE
19995|culture clash|HAS_KEYWORD
19995|future|HAS_KEYWORD
19995|space war|HAS_KEYWORD
19995|space colony|HAS_KEYWORD
19995|society|HAS_KEYWORD
19995|space travel|HAS_KEYWORD
19995|futuristic|HAS_KEYWORD
19995|romance|HAS_KEYWORD
19995|space|HAS_KEYWORD
19995|alien|HAS_KEYWORD
19995|tribe|HAS_KEYWORD
19995|alien planet|HAS_KEYWORD
19995|cgi|HAS_KEYWORD
19995|marine|HAS_KEYWORD
19995|soldier|HAS_KEYWORD
19995|battle|HAS_KEYWORD
19995|love affair|HAS_KEYWORD
19995|anti war|HAS_KEYWORD
19995|power relations|HAS_KEYWORD
19995|mind and soul|HAS_KEYWORD
19995|3d|HAS_KEYWORD
285|ocean|HAS_KEYWORD
285|drug abuse|HAS_KEYWORD
285|exotic island|HAS_KEYWORD
285|east india trading company|HAS_KEYWORD
285|love of one's life|HAS_KEYWORD
285|traitor|HAS_KEYWORD
285|shipwreck|HAS_KEYWORD
285|strong woman|HAS_KEYWORD
285|ship|HAS_KEYWORD
285|alliance|HAS_KEYWORD
285|calypso|HAS_KEYWORD
285|afterlife|HAS_KEYWORD
285|fighter|HAS_KEYWORD
285|pirate|HAS_KEYWORD
285|swashbuckler|HAS_KEYWORD
285|aftercreditsstinger|HAS_KEYWORD
206647|spy|HAS_KEYWORD
206647|based on novel|HAS_KEYWORD
206647|secret agent|HAS_KEYWORD
206647|sequel|HAS_KEYWORD
206647|mi6|HAS_KEYWORD
206647|british secret service|HAS_KEYWORD
206647|united kingdom|HAS_KEYWORD
49026|dc comics|HAS_KEYWORD
49026|crime fighter|HAS_KEYWORD
49026|terrorist|HAS_KEYWORD
49026|secret identity|HAS_KEYWORD
49026|burglar|HAS_KEYWORD
49026|hostage drama|HAS_KEYWORD
49026|time bomb|HAS_KEYWORD
49026|gotham city|HAS_KEYWORD
49026|vigilante|HAS_KEYWORD
49026|cover-up|HAS_KEYWORD
49026|superhero|HAS_KEYWORD
49026|villainess|HAS_KEYWORD
49026|tragic hero|HAS_KEYWORD
49026|terrorism|HAS_KEYWORD
49026|destruction|HAS_KEYWORD
49026|catwoman|HAS_KEYWORD
49026|cat burglar|HAS_KEYWORD
49026|imax|HAS_KEYWORD
49026|flood|HAS_KEYWORD
49026|criminal underworld|HAS_KEYWORD
49026|batman|HAS_KEYWORD
49529|based on novel|HAS_KEYWORD
49529|mars|HAS_KEYWORD
49529|medallion|HAS_KEYWORD
49529|space travel|HAS_KEYWORD
49529|princess|HAS_KEYWORD
49529|alien|HAS_KEYWORD
49529|steampunk|HAS_KEYWORD
49529|martian|HAS_KEYWORD
49529|escape|HAS_KEYWORD
49529|edgar rice burroughs|HAS_KEYWORD
49529|alien race|HAS_KEYWORD
49529|superhuman strength|HAS_KEYWORD
49529|mars civilization|HAS_KEYWORD
49529|sword and planet|HAS_KEYWORD
49529|19th century|HAS_KEYWORD
49529|3d|HAS_KEYWORD
559|dual identity|HAS_KEYWORD
559|amnesia|HAS_KEYWORD
559|sandstorm|HAS_KEYWORD
559|love of one's life|HAS_KEYWORD
559|forgiveness|HAS_KEYWORD
559|spider|HAS_KEYWORD
559|wretch|HAS_KEYWORD
559|death of a friend|HAS_KEYWORD
559|egomania|HAS_KEYWORD
559|sand|HAS_KEYWORD
559|narcism|HAS_KEYWORD
559|hostility|HAS_KEYWORD
559|marvel comic|HAS_KEYWORD
559|sequel|HAS_KEYWORD
559|superhero|HAS_KEYWORD
559|revenge|HAS_KEYWORD
38757|hostage|HAS_KEYWORD
38757|magic|HAS_KEYWORD
38757|horse|HAS_KEYWORD
38757|fairy tale|HAS_KEYWORD
38757|musical|HAS_KEYWORD
38757|princess|HAS_KEYWORD
38757|animation|HAS_KEYWORD
38757|tower|HAS_KEYWORD
38757|blonde woman|HAS_KEYWORD
38757|selfishness|HAS_KEYWORD
38757|healing power|HAS_KEYWORD
38757|based on fairy tale|HAS_KEYWORD
38757|duringcreditsstinger|HAS_KEYWORD
38757|healing gift|HAS_KEYWORD
38757|animal sidekick|HAS_KEYWORD
99861|marvel comic|HAS_KEYWORD
99861|sequel|HAS_KEYWORD
99861|superhero|HAS_KEYWORD
99861|based on comic book|HAS_KEYWORD
99861|vision|HAS_KEYWORD
99861|superhero team|HAS_KEYWORD
99861|duringcreditsstinger|HAS_KEYWORD
99861|marvel cinematic universe|HAS_KEYWORD
99861|3d|HAS_KEYWORD
767|witch|HAS_KEYWORD
767|magic|HAS_KEYWORD
767|broom|HAS_KEYWORD
767|school of witchcraft|HAS_KEYWORD
767|wizardry|HAS_KEYWORD
767|apparition|HAS_KEYWORD
767|teenage crush|HAS_KEYWORD
767|werewolf|HAS_KEYWORD
209112|dc comics|HAS_KEYWORD
209112|vigilante|HAS_KEYWORD
209112|superhero|HAS_KEYWORD
209112|based on comic book|HAS_KEYWORD
209112|revenge|HAS_KEYWORD
209112|super powers|HAS_KEYWORD
209112|clark kent|HAS_KEYWORD
209112|bruce wayne|HAS_KEYWORD
209112|dc extended universe|HAS_KEYWORD
1452|saving the world|HAS_KEYWORD
1452|dc comics|HAS_KEYWORD
1452|invulnerability|HAS_KEYWORD
1452|sequel|HAS_KEYWORD
1452|superhero|HAS_KEYWORD
1452|based on comic book|HAS_KEYWORD
1452|kryptonite|HAS_KEYWORD
1452|super powers|HAS_KEYWORD
1452|superhuman strength|HAS_KEYWORD
1452|lex luthor|HAS_KEYWORD
10764|killing|HAS_KEYWORD
10764|undercover|HAS_KEYWORD
10764|secret agent|HAS_KEYWORD
10764|british secret service|HAS_KEYWORD
58|witch|HAS_KEYWORD
58|fortune teller|HAS_KEYWORD
58|bondage|HAS_KEYWORD
58|exotic island|HAS_KEYWORD
58|monster|HAS_KEYWORD
58|captain|HAS_KEYWORD
58|card game|HAS_KEYWORD
58|east india trading company|HAS_KEYWORD
58|compass|HAS_KEYWORD
58|ship|HAS_KEYWORD
58|daughter|HAS_KEYWORD
58|pirate|HAS_KEYWORD
58|swashbuckler|HAS_KEYWORD
58|aftercreditsstinger|HAS_KEYWORD
57201|texas|HAS_KEYWORD
57201|horse|HAS_KEYWORD
57201|survivor|HAS_KEYWORD
57201|texas ranger|HAS_KEYWORD
57201|partner|HAS_KEYWORD
57201|outlaw|HAS_KEYWORD
57201|escape|HAS_KEYWORD
57201|lawyer|HAS_KEYWORD
57201|train|HAS_KEYWORD
57201|lone ranger|HAS_KEYWORD
57201|comanche|HAS_KEYWORD
57201|the lone ranger|HAS_KEYWORD
57201|tonto|HAS_KEYWORD
49521|saving the world|HAS_KEYWORD
49521|dc comics|HAS_KEYWORD
49521|superhero|HAS_KEYWORD
49521|based on comic book|HAS_KEYWORD
49521|superhuman|HAS_KEYWORD
49521|alien invasion|HAS_KEYWORD
49521|reboot|HAS_KEYWORD
49521|super powers|HAS_KEYWORD
49521|dc extended universe|HAS_KEYWORD
2454|based on novel|HAS_KEYWORD
2454|fictional place|HAS_KEYWORD
2454|brother sister relationship|HAS_KEYWORD
2454|lion|HAS_KEYWORD
2454|human being|HAS_KEYWORD
2454|wretch|HAS_KEYWORD
2454|leap in time|HAS_KEYWORD
2454|matter of life and death|HAS_KEYWORD
2454|faith|HAS_KEYWORD
2454|uncle|HAS_KEYWORD
2454|narnia|HAS_KEYWORD
2454|fantasy world|HAS_KEYWORD
24428|new york|HAS_KEYWORD
24428|shield|HAS_KEYWORD
24428|marvel comic|HAS_KEYWORD
24428|superhero|HAS_KEYWORD
24428|based on comic book|HAS_KEYWORD
24428|alien invasion|HAS_KEYWORD
24428|superhero team|HAS_KEYWORD
24428|aftercreditsstinger|HAS_KEYWORD
24428|duringcreditsstinger|HAS_KEYWORD
24428|marvel cinematic universe|HAS_KEYWORD
1865|sea|HAS_KEYWORD
1865|captain|HAS_KEYWORD
1865|mutiny|HAS_KEYWORD
1865|sword|HAS_KEYWORD
1865|prime minister|HAS_KEYWORD
1865|sailing|HAS_KEYWORD
1865|silver|HAS_KEYWORD
1865|ship|HAS_KEYWORD
1865|duke|HAS_KEYWORD
1865|mermaid|HAS_KEYWORD
1865|pirate|HAS_KEYWORD
1865|soldier|HAS_KEYWORD
1865|battle|HAS_KEYWORD
1865|swashbuckler|HAS_KEYWORD
1865|aftercreditsstinger|HAS_KEYWORD
1865|3d|HAS_KEYWORD
41154|time travel|HAS_KEYWORD
41154|time machine|HAS_KEYWORD
41154|alien|HAS_KEYWORD
41154|fictional government agency|HAS_KEYWORD
41154|seeing the future|HAS_KEYWORD
41154|changing history|HAS_KEYWORD
122917|corruption|HAS_KEYWORD
122917|elves|HAS_KEYWORD
122917|dwarves|HAS_KEYWORD
122917|orcs|HAS_KEYWORD
122917|middle-earth (tolkien)|HAS_KEYWORD
122917|hobbit|HAS_KEYWORD
122917|dragon|HAS_KEYWORD
122917|battle|HAS_KEYWORD
122917|unlikely friendship|HAS_KEYWORD
122917|epic battle|HAS_KEYWORD
122917|sword and sorcery|HAS_KEYWORD
1930|loss of father|HAS_KEYWORD
1930|vigilante|HAS_KEYWORD
1930|serum|HAS_KEYWORD
1930|marvel comic|HAS_KEYWORD
1930|scientific experiment|HAS_KEYWORD
1930|spider bite|HAS_KEYWORD
1930|masked vigilante|HAS_KEYWORD
1930|reboot|HAS_KEYWORD
1930|super powers|HAS_KEYWORD
1930|genetic engineering|HAS_KEYWORD
1930|social outcast|HAS_KEYWORD
1930|duringcreditsstinger|HAS_KEYWORD
20662|robin hood|HAS_KEYWORD
20662|archer|HAS_KEYWORD
20662|knight|HAS_KEYWORD
20662|sherwood forest|HAS_KEYWORD
20662|bow and arrow|HAS_KEYWORD
20662|middle ages|HAS_KEYWORD
20662|medieval|HAS_KEYWORD
20662|king of england|HAS_KEYWORD
57158|elves|HAS_KEYWORD
57158|dwarves|HAS_KEYWORD
57158|orcs|HAS_KEYWORD
57158|hobbit|HAS_KEYWORD
57158|dragon|HAS_KEYWORD
57158|wizard|HAS_KEYWORD
57158|sword and sorcery|HAS_KEYWORD
2268|england|HAS_KEYWORD
2268|compass|HAS_KEYWORD
2268|experiment|HAS_KEYWORD
2268|lordship|HAS_KEYWORD
2268|uncle|HAS_KEYWORD
2268|polar bear|HAS_KEYWORD
2268|orphan|HAS_KEYWORD
2268|animal|HAS_KEYWORD
2268|based on young adult novel|HAS_KEYWORD
254|film business|HAS_KEYWORD
254|screenplay|HAS_KEYWORD
254|show business|HAS_KEYWORD
254|film making|HAS_KEYWORD
254|film producer|HAS_KEYWORD
254|exotic island|HAS_KEYWORD
254|monster|HAS_KEYWORD
254|indigenous|HAS_KEYWORD
254|ship|HAS_KEYWORD
254|dinosaur|HAS_KEYWORD
597|shipwreck|HAS_KEYWORD
597|iceberg|HAS_KEYWORD
597|ship|HAS_KEYWORD
597|panic|HAS_KEYWORD
597|titanic|HAS_KEYWORD
597|ocean liner|HAS_KEYWORD
597|epic|HAS_KEYWORD
597|rich woman - poor man|HAS_KEYWORD
597|love|HAS_KEYWORD
597|disaster|HAS_KEYWORD
597|tragic love|HAS_KEYWORD
597|class differences|HAS_KEYWORD
597|imax|HAS_KEYWORD
597|star crossed lovers|HAS_KEYWORD
597|steerage|HAS_KEYWORD
597|salvage|HAS_KEYWORD
597|rich snob|HAS_KEYWORD
597|3d|HAS_KEYWORD
597|1910s|HAS_KEYWORD
271110|civil war|HAS_KEYWORD
271110|war|HAS_KEYWORD
271110|marvel comic|HAS_KEYWORD
271110|sequel|HAS_KEYWORD
271110|superhero|HAS_KEYWORD
271110|based on comic book|HAS_KEYWORD
271110|imax|HAS_KEYWORD
271110|aftercreditsstinger|HAS_KEYWORD
271110|duringcreditsstinger|HAS_KEYWORD
271110|marvel cinematic universe|HAS_KEYWORD
271110|3d|HAS_KEYWORD
44833|fight|HAS_KEYWORD
44833|u.s. navy|HAS_KEYWORD
44833|mind reading|HAS_KEYWORD
44833|hong kong|HAS_KEYWORD
